TV,Radio,Newspaper,Sales
232.186815,38.870242,36.231287,28.092607
131.663532,48.591321,110.213027,22.448631
257.579376,25.037059,93.755284,25.126740
209.210409,7.194875,13.270609,13.576767
28.253204,0.696814,119.644159,6.661978
292.686705,11.482801,105.504003,22.951682
228.341911,6.591111,34.069013,17.128198
235.819292,33.882934,100.427590,26.500954
38.434090,6.091625,12.770344,14.061442
135.115781,25.316497,119.892568,16.380079
111.239407,34.713122,79.882168,17.552688
278.029497,29.055830,78.015002,26.545045
193.159536,9.988783,10.852887,21.377246
246.828484,40.206226,107.644008,24.380326
133.024260,35.770356,3.479940,20.664180
68.171617,36.949200,28.899367,21.048921
166.375436,6.552888,17.162625,12.950048
19.145177,6.187690,93.212153,6.919748
248.289352,46.378128,23.784507,26.892916
189.499320,19.878910,109.276587,19.202818
227.426322,15.047435,78.752285,22.635108
106.357790,24.429202,4.339525,17.230316
291.209407,33.143211,0.651580,23.625643
267.936336,47.781163,6.198950,29.902901
233.515049,14.322311,72.711021,19.982933
58.391612,46.240421,96.177817,21.518024
140.016301,1.242975,28.626338,12.781182
13.141130,27.759902,101.929061,12.055958
46.286848,31.698756,6.867833,16.364743
204.914686,5.294870,96.115662,19.680353
223.428647,7.016980,111.335452,20.317355
290.252920,20.955716,92.653008,21.802085
97.747607,48.311596,83.774494,22.261215
111.137912,29.802128,100.557626,16.301720
140.866743,46.651161,4.818156,23.082040
56.841408,40.218046,24.213853,14.623058
38.976452,23.369080,14.990842,14.276651
142.711478,39.238172,60.543719,19.894845
68.072805,0.891839,89.422575,8.221499
200.944198,5.457200,75.601421,19.344232
131.145576,41.471431,102.135732,22.028051
249.803459,39.840854,18.625559,25.321949
210.079531,11.632037,88.154531,22.475392
93.709992,26.538480,23.164979,15.738636
249.677940,30.300791,32.491050,24.849615
241.429307,43.386948,85.188564,27.623001
116.243514,30.155358,117.624574,17.507384
86.498431,20.628578,73.385233,16.292375
204.748651,18.709202,6.540038,19.279080
41.925745,21.294104,73.957076,12.536654
59.972461,32.596551,5.082066,18.821955
2.208681,43.374532,106.097485,13.711357
236.077313,22.694844,85.149394,18.073544
199.455257,12.391978,20.775342,22.171472
211.549614,11.833118,11.006521,24.478902
234.218709,37.300714,22.023987,24.529139
137.674733,40.828438,117.603262,17.919618
170.622359,5.263904,55.027277,15.737249
41.939099,3.327943,94.089714,9.453066
34.359022,29.721683,76.369001,14.231030
200.520889,7.308662,68.689578,15.994515
141.328862,41.233210,17.415631,22.812297
169.570832,15.516734,113.522934,19.533416
229.499657,7.193597,36.161116,16.461320
190.415496,46.048524,69.362066,26.502500
166.073820,8.276586,83.973113,20.932662
167.762148,14.236004,77.907979,18.360106
91.185029,7.680670,112.871329,12.592132
9.245350,5.774503,17.812679,8.354709
131.015217,1.057401,61.002329,14.929993
64.375402,2.769770,48.484127,7.346809
122.558593,8.732074,56.900248,15.068448
256.020922,2.669097,14.306103,18.985055
70.181846,29.557191,16.091353,19.743101
17.490823,34.035726,33.369065,14.112637
84.415168,19.681523,36.564552,18.263304
88.078127,15.899555,51.348386,12.233257
198.574954,25.226312,73.318506,22.725711
167.109646,43.750247,76.155494,24.224839
235.169463,42.556581,49.417308,24.752228
199.294062,2.173753,49.053973,17.465552
121.916058,9.074920,26.115423,17.079240
244.206115,11.837244,70.596750,20.518240
50.091876,12.469379,38.044909,8.547443
6.813622,28.561633,4.327180,12.764954
27.014358,20.813121,50.208005,10.662234
216.707805,2.462706,56.895921,17.339359
138.563169,18.680707,27.071144,17.111208
48.381534,26.187647,68.694952,11.164766
150.313433,5.083595,67.892628,12.177391
45.693631,41.672928,84.240262,18.415259
208.896113,2.598093,77.753818,16.714329
133.846883,46.242093,78.291967,17.357121
114.306368,4.955657,37.945698,15.125627
90.453627,42.178748,94.491867,20.259708
189.084778,45.132657,65.897326,23.425572
108.543783,48.978534,51.770183,19.066605
26.294976,40.101294,75.121498,17.866414
